CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB
45,2777.5696,11521.4346,11354.8188,2833.1082,9619.3708,24405.004,3381.0322,14806.74,13994.981,3454.6928,7177.1648,6251.1306,3345.3212,20149.3188,17307.4694,4928.118,5727.1916,5207.943,2986.7188,3852.6306,3459.0634,3174.6546
46,2777.5696,11521.4346,11354.8188,2833.1082,9619.3708,24405.004,3381.0322,14806.74,13994.981,3454.6928,7177.1648,6251.1306,3345.3212,20149.3188,17307.4694,4928.118,5727.1916,5207.943,2986.7188,3852.6306,3459.0634,3174.6546
47,2777.5696,11521.4346,11354.8188,2833.1082,9619.3708,24405.004,3381.0322,14806.74,13994.981,3454.6928,7177.1648,6251.1306,3345.3212,20149.3188,17307.4694,4928.118,5727.1916,5207.943,2986.7188,3852.6306,3459.0634,3174.6546
48,2777.5696,11521.4346,11354.8188,2833.1082,9619.3708,24405.004,3381.0322,14806.74,13994.981,3454.6928,7177.1648,6251.1306,3345.3212,20149.3188,17307.4694,4928.118,5727.1916,5207.943,2986.7188,3852.6306,3459.0634,3174.6546
49,2777.5696,11521.4346,11354.8188,2833.1082,9619.3708,24405.004,3381.0322,14806.74,13994.981,3454.6928,7177.1648,6251.1306,3345.3212,20149.3188,17307.4694,4928.118,5727.1916,5207.943,2986.7188,3852.6306,3459.0634,3174.6546
50,2828.7376,11572.6026,11405.9868,2884.2762,9670.5388,24456.172,3432.2002,14857.908,14046.149,3505.8608,7228.3328,6302.2986,3396.4892,20200.4868,17358.6374,4979.286,5778.3596,5259.111,3037.8868,3903.7986,3510.2314,3225.8226
51,2828.7376,11572.6026,11405.9868,2884.2762,9670.5388,24456.172,3432.2002,14857.908,14046.149,3505.8608,7228.3328,6302.2986,3396.4892,20200.4868,17358.6374,4979.286,5778.3596,5259.111,3037.8868,3903.7986,3510.2314,3225.8226
52,2828.7376,11572.6026,11405.9868,2884.2762,9670.5388,24456.172,3432.2002,14857.908,14046.149,3505.8608,7228.3328,6302.2986,3396.4892,20200.4868,17358.6374,4979.286,5778.3596,5259.111,3037.8868,3903.7986,3510.2314,3225.8226
53,2828.7376,11572.6026,11405.9868,2884.2762,9670.5388,24456.172,3432.2002,14857.908,14046.149,3505.8608,7228.3328,6302.2986,3396.4892,20200.4868,17358.6374,4979.286,5778.3596,5259.111,3037.8868,3903.7986,3510.2314,3225.8226
54,2828.7376,11572.6026,11405.9868,2884.2762,9670.5388,24456.172,3432.2002,14857.908,14046.149,3505.8608,7228.3328,6302.2986,3396.4892,20200.4868,17358.6374,4979.286,5778.3596,5259.111,3037.8868,3903.7986,3510.2314,3225.8226
