CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
1,23086,16445,3699,2229
2,21343,13776,2658,1905
3,18835,16212,2113,1675
4,17766,15646,1854,1544
5,17549,15589,1765,1492
6,17858,15921,1783,1497
7,18407,16289,1858,1533
8,18827,16350,1936,1568
9,18715,15957,1967,1583
10,18116,15376,1941,1586
11,17286,14901,1880,1596
12,16503,14759,1814,1633
13,15969,15088,1765,1710
14,15702,15899,1745,1832
15,15522,16905,1743,1981
16,15254,17810,1741,2122
17,14608,18176,1715,2211
18,13384,17610,1644,2204
19,11693,16175,1526,2093
20,10021,14531,1397,1941
21,8668,13198,1285,1807
22,7716,12402,1202,1721
23,7161,12215,1151,1692
24,6938,12618,1127,1719
25,6960,13492,1124,1791
26,7161,14726,1136,1894
27,7508,16213,1158,2016
28,7963,17824,1190,2145
29,8489,19462,1230,2275
30,9089,21093,1280,2402
31,9770,22712,1341,2527
32,10538,24301,1413,2649
33,11398,25745,1493,2754
34,12316,26831,1575,2820
35,13267,27482,1652,2836
36,14233,27779,1724,2808
37,15196,27877,1788,2751
38,16137,27937,1844,2680
39,17065,28057,1893,2607
40,17982,28363,1940,2548
41,18933,28892,1989,2511
42,19968,29724,2046,2504
43,21144,30971,2118,2537
44,22544,32762,2210,2617
45,22935,33877,2202,2647
46,24478,36484,2302,2798
47,26065,39306,2399,2964
48,27541,41868,2478,3104
49,28769,43725,2530,3179
50,29787,44969,2558,3196
51,30737,45851,2586,3190
52,31685,46573,2623,3188
53,32714,47232,2679,3207
54,33859,47931,2757,3254
55,35081,48570,2853,3318
56,36331,49054,2962,3385
57,37530,49295,3079,3441
58,38572,49044,3196,3474
59,39330,48152,3310,3479
60,39326,46419,3382,3445
61,39494,44912,3494,3448
62,39594,43647,3616,3480
63,39799,42975,3752,3559
64,40189,43112,3909,3703
65,40683,43878,4082,3907
66,41072,44935,4256,4154
67,41172,45785,4415,4407
68,40804,45754,4542,4608
69,39945,44382,4630,4697
70,37790,41166,4578,4598
71,36390,38294,4624,4533
72,34959,35485,4677,4467
73,33585,33085,4748,4443
74,32383,31279,4848,4491
75,31404,30074,4986,4622
76,30643,29386,5164,4839
77,30030,29111,5383,5140
78,29479,29162,5637,5526
79,28894,29472,5913,6001
80,30544,31980,6706,7002
81,29768,32447,7027,7647
82,28968,32833,7354,8330
83,28162,32969,7691,9002
84,27410,32728,8061,9614
85,26811,32281,8478,10175
86,26490,31891,8953,10718
87,26364,31621,9470,11264
88,26275,31447,9982,11812
89,26078,31317,10429,12346
90,25683,31162,10769,12839
91,25167,31002,11026,13305
92,24671,30908,11270,13789
93,24354,30966,11593,14357
94,24236,31178,12042,15047
95,24076,31348,12541,15814
96,23940,31510,13159,16713
97,23270,31135,13711,17614
98,21825,29451,14061,18170
99,20089,26882,14506,18535
100,18685,24504,15586,19416
