CURR.AGE,Cost
20,10727.3193
21,10788.81479
22,10849.03211
23,10907.37771
24,10963.2705
25,11016.53394
26,11068.56429
27,11121.14276
28,11176.04741
29,11235.02113
30,11299.77816
31,11372.01463
32,11453.42048
33,11545.69278
34,11650.49141
35,11768.59161
36,11898.77006
37,12039.38511
38,12188.82185
39,12345.48135
40,12507.77068
41,12674.09373
42,12842.77709
43,13011.94709
44,13179.65904
45,13344.06322
46,13503.83733
47,13657.75438
48,13804.53927
49,13942.89505
50,14072.03575
51,14191.7239
52,14301.76303
53,14401.97146
54,14492.1793
55,14572.30316
56,14642.57766
57,14703.34166
58,14755.06412
59,14798.26693
60,14833.47524
61,14861.21418
62,14882.00543
63,14896.36333
64,14904.79061
65,14908.02967
66,14907.69294
67,14905.58994
68,14903.52266
69,14903.27709
70,14906.58532
71,14915.02908
72,14930.00486
73,14951.48337
74,14978.22041
75,15008.78851
76,15041.62989
77,15075.09662
78,15107.50685
79,15137.21321
80,15137.21321
81,15137.21321
82,15137.21321
83,15137.21321
84,15137.21321
85,15137.21321
86,15137.21321
87,15137.21321
88,15137.21321
89,15137.21321
90,15137.21321
91,15137.21321
92,15137.21321
93,15137.21321
94,15137.21321
95,15137.21321
96,15137.21321
97,15137.21321
98,15137.21321
99,15137.21321
100,14970.64468
