Age,Males,Females
0,0.00348,0.00297
1,0.00027,0.00024
2,0.00015,0.00011
3,0.0001,9.00E-05
4,8.00E-05,1.20E-04
5,9.00E-05,9.00E-05
6,8.00E-05,9.00E-05
7,7.00E-05,7.00E-05
8,8.00E-05,6.00E-05
9,6.00E-05,5.00E-05
10,6.00E-05,5.00E-05
11,8.00E-05,7.00E-05
12,6.00E-05,8.00E-05
13,8.00E-05,1.10E-04
14,1.40E-04,8.00E-05
15,0.00014,1.20E-04
16,0.00022,0.00016
17,0.00026,0.00011
18,0.00034,0.00019
19,4.20E-04,0.00017
20,4.20E-04,0.00021
21,0.0004,0.00019
22,0.0004,0.00016
23,0.00039,1.80E-04
24,0.00047,0.0002
25,0.00043,0.00017
26,0.00044,0.00019
27,4.10E-04,0.00021
28,0.00049,0.00023
29,0.00052,0.00027
30,0.00058,0.00032
31,0.00065,0.00031
32,0.00064,0.00031
33,0.00079,0.00035
34,7.50E-04,0.00044
35,0.00078,0.00043
36,0.00089,0.00041
37,0.00104,0.00047
38,0.00107,0.00058
39,0.00105,0.00061
40,0.00116,0.00068
41,0.00128,0.00068
42,0.00136,0.00075
43,0.00153,0.00089
44,0.00178,0.00097
45,0.00194,0.00115
46,0.0022,0.00126
47,0.00235,0.00132
48,0.00266,0.00153
49,0.00283,0.00173
50,0.00323,0.00177
51,0.00365,0.00211
52,0.00407,0.00232
53,0.0046,0.00259
54,0.0053,0.00295
55,0.00579,0.00314
56,0.00658,0.0036
57,0.00713,0.00391
58,0.008,0.00424
59,0.00884,0.0046
60,0.00961,0.00524
61,0.01095,0.00587
62,0.01182,0.00604
63,0.01282,0.00672
64,0.01397,0.00723
65,0.01531,0.00783
66,0.01634,0.00859
67,0.01771,0.0093
68,0.01939,0.01047
69,0.0208,0.0113
70,0.02228,0.0127
71,0.02401,0.01363
72,0.02665,0.01527
73,0.02929,0.01671
74,0.03019,0.01742
75,0.03424,0.01963
76,0.03643,0.0209
77,0.04138,0.0241
78,0.04509,0.02714
79,0.04998,0.0312
80,0.05673,0.03663
81,0.06376,0.04265
82,0.07399,0.05065
83,0.08018,0.05579
84,0.09239,0.06523
85,0.10636,0.07739
86,0.118,0.08708
87,0.13186,0.09919
88,0.14982,0.11465
89,0.16465,0.12936
90,0.18395,0.15103
91,0.20043,0.1694
92,0.22948,0.18832
93,0.24092,0.20675
94,0.26377,0.22685
95,0.28896,0.25321
96,0.3122,0.2781
97,0.33565,0.30364
98,0.35908,0.32953
99,0.38225,0.35547
100,0.40496,0.38114
101,0.42698,0.40625
102,0.44815,0.43052
103,0.46832,0.45371
104,0.48738,0.47563
105,0.50523,0.49615
106,0.52184,0.51516
107,0.53717,0.53263
108,0.55124,0.54854
109,0.56407,0.56294
110,1,1
