CURR.AGE,BASELINE.MALE,BASELINE.FEMALE
1,0.947351186,0.951216289
2,0.947351186,0.951216289
3,0.947351186,0.951216289
4,0.947351186,0.951216289
5,0.947351186,0.951216289
6,0.947351186,0.951216289
7,0.947351186,0.951216289
8,0.947351186,0.951216289
9,0.947351186,0.951216289
10,0.947351186,0.951216289
11,0.947351186,0.951216289
12,0.947351186,0.951216289
13,0.947351186,0.951216289
14,0.947351186,0.951216289
15,0.947351186,0.951216289
16,0.947351186,0.951216289
17,0.947351186,0.951216289
18,0.947351186,0.951216289
19,0.947351186,0.951216289
20,0.947351186,0.951216289
21,0.944912056,0.948724615
22,0.942459438,0.946232424
23,0.939995487,0.943739943
24,0.937522355,0.941247397
25,0.935042193,0.938755014
26,0.932557155,0.936263018
27,0.930069392,0.933771635
28,0.927580967,0.93128111
29,0.925093572,0.928791759
30,0.922705407,0.926400513
31,0.920242509,0.923932143
32,0.917788215,0.921468716
33,0.915344924,0.919010818
34,0.912916896,0.916558692
35,0.910508869,0.914112514
36,0.908181283,0.911701831
37,0.90589219,0.909301139
38,0.903647505,0.906911007
39,0.901451885,0.904530909
40,0.899309802,0.902160106
41,0.897225881,0.899797944
42,0.895204898,0.897443845
43,0.893250819,0.895096922
44,0.891363978,0.892754821
45,0.889545699,0.890415804
46,0.887792453,0.888075737
47,0.886105018,0.885732518
48,0.884482023,0.883383365
49,0.882918386,0.881024438
50,0.881408018,0.878651644
51,0.879944696,0.876260902
52,0.878522025,0.873848136
53,0.877134071,0.87140984
54,0.875777319,0.868944813
55,0.87444866,0.866452419
56,0.873144702,0.863932013
57,0.871861754,0.861382941
58,0.870596518,0.858804748
59,0.869348208,0.856197811
60,0.868116419,0.853562711
61,0.866900414,0.850900024
62,0.865699121,0.848210308
63,0.864511524,0.84549444
64,0.863337856,0.842754641
65,0.862178385,0.839993395
66,0.861033004,0.837213064
67,0.859901242,0.834415842
68,0.858781932,0.831604148
69,0.857672371,0.828781978
70,0.856569117,0.825953309
71,0.855468125,0.823121486
72,0.854364776,0.820289045
73,0.853252882,0.817458165
74,0.852122071,0.814632515
75,0.850960317,0.811814965
76,0.849754699,0.809006716
77,0.848491351,0.806207014
78,0.847157118,0.803412468
79,0.84574452,0.800615497
80,0.844246699,0.797805602
81,0.842655782,0.794969789
82,0.840962884,0.792092579
83,0.83915788,0.789156213
84,0.837228491,0.786141263
85,0.835161403,0.783026771
86,0.832942812,0.779790831
87,0.830558576,0.776411534
88,0.827994522,0.772868132
89,0.825236801,0.769142519
90,0.822272199,0.765221061
91,0.819088591,0.761096641
92,0.815675452,0.756771002
93,0.812024327,0.752257047
94,0.808129514,0.747581062
95,0.803988622,0.742784318
96,0.800367902,0.739019956
97,0.796751422,0.73534183
98,0.793142265,0.731755421
99,0.789543518,0.728266209
100,0.785958264,0.724879674
