CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,2778,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
46,2778,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
47,2778,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
48,2778,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
49,2778,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
50,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
51,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
52,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
53,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
54,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
55,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
56,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
57,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
58,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
59,2829,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
60,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
61,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
62,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
63,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
64,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
65,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
66,3027,8755,8755,5368,2716,2716,574,6072,4191,2254,4498,4498,4498,12793,12793,6397,5104,5104,5104,6876,6876,1719,38471,38471,24963
