CURR.AGE,Cost
20,10343.59294
21,10324.45624
22,10307.24738
23,10292.33802
24,10280.08138
25,10270.81277
26,10264.8516
27,10262.5334
28,10264.21811
29,10270.25617
30,10280.93698
31,10296.33556
32,10316.4794
33,10341.40629
34,10371.11651
35,10405.21731
36,10443.14232
37,10484.34233
38,10528.28214
39,10574.4363
40,10622.28509
41,10671.31064
42,10720.93845
43,10770.441
44,10819.05246
45,10866.06283
46,10911.03824
47,10953.60114
48,10993.35737
49,11029.91611
50,11063.30683
51,11093.99419
52,11122.47132
53,11149.2403
54,11174.81154
55,11199.7035
56,11224.44285
57,11249.58041
58,11275.77282
59,11303.72645
60,11334.16369
61,11367.82519
62,11405.47258
63,11447.89124
64,11495.89349
65,11555.64626
66,11622.81359
67,11698.33489
68,11783.1866
69,11878.37812
70,11984.94297
71,12103.92369
72,12236.28248
73,12381.84658
74,12539.41891
75,12707.58465
76,12884.73273
77,13069.06868
78,13258.6439
79,13451.39991
80,13451.39991
81,13451.39991
82,13451.39991
83,13451.39991
84,13451.39991
85,13451.39991
86,13451.39991
87,13451.39991
88,13451.39991
89,13451.39991
90,13451.39991
91,13451.39991
92,13451.39991
93,13451.39991
94,13451.39991
95,13451.39991
96,13451.39991
97,13451.39991
98,13451.39991
99,13451.39991
