CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
46,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
47,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
48,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
49,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
50,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
51,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
52,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
53,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
54,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
55,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
56,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
57,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
58,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
59,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
60,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
61,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
62,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
63,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
64,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
65,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
66,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
67,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
68,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
69,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
70,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
71,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
72,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
73,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
74,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
75,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
76,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
77,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
78,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
79,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
80,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
81,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
82,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
83,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
84,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
85,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
86,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
87,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
88,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
89,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
90,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
91,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
92,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
93,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
94,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
95,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
96,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
97,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
98,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
99,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
100,,6027,3014,1973,3629,3629,1203,4426,3692,1985,3928,1964,1405,,,,,,,,,,,,
