CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
1,2559,3031,334,392
2,2559,3031,334,392
3,2559,3031,334,392
4,2559,3031,334,392
5,2559,3031,334,392
6,2559,3031,334,392
7,2559,3031,334,392
8,2559,3031,334,392
9,2559,3031,334,392
10,2559,3031,334,392
11,2559,3031,334,392
12,2559,3031,334,392
13,2559,3031,334,392
14,2559,3031,334,392
15,2559,3031,334,392
16,2559,3031,334,392
17,2559,3031,334,392
18,2559,3031,334,392
19,2559,3031,334,392
20,2706,3117,377,416
21,2827,3214,419,440
22,2943,3337,459,463
23,3076,3497,494,484
24,3231,3697,525,504
25,3401,3924,549,521
26,3568,4161,566,535
27,3717,4391,573,546
28,3819,4594,571,553
29,3841,4754,557,556
30,3721,4785,524,545
31,3554,4842,488,539
32,3322,4855,446,529
33,3053,4832,400,517
34,2775,4782,355,503
35,2511,4719,313,487
36,2283,4651,277,470
37,2125,4597,250,454
38,2069,4565,236,438
39,2154,4557,239,423
40,2406,4577,260,411
41,2816,4612,296,401
42,3356,4655,344,392
43,3996,4704,400,385
44,4703,4753,461,380
45,5446,4803,523,375
46,6191,4849,582,372
47,6905,4897,636,369
48,7549,4952,679,367
49,8076,5029,710,366
50,8447,5128,725,364
51,8638,5224,727,363
52,8656,5301,717,363
53,8516,5340,697,363
54,8247,5338,671,362
55,7885,5304,641,362
56,7475,5249,610,362
57,7051,5184,578,362
58,6643,5100,550,361
59,6275,4989,528,360
60,5966,4845,513,360
61,5708,4672,505,359
62,5498,4487,502,358
63,5328,4309,502,357
64,5185,4143,504,356
65,5053,3983,507,355
66,4917,3819,509,353
67,4767,3646,511,351
68,4599,3458,512,348
69,4405,3261,511,345
70,4186,3062,507,342
71,3946,2867,501,339
72,3689,2680,493,337
73,3416,2497,483,335
74,3132,2318,469,333
75,2842,2143,451,329
76,2554,1973,430,325
77,2274,1811,408,320
78,2010,1662,384,315
79,1766,1527,361,311
80,1545,1408,339,308
81,1344,1302,317,307
82,1164,1209,295,307
83,1005,1131,274,309
84,865,1067,254,313
85,760,961,224,282
86,663,869,195,255
87,574,793,169,233
88,496,738,146,217
89,430,705,127,207
90,378,697,111,205
91,340,717,100,211
92,319,767,94,225
93,315,849,93,249
94,331,963,97,283
95,369,1107,108,325
96,369,1107,108,325
97,369,1107,108,325
98,369,1107,108,325
99,369,1107,108,325
100,369,1107,108,325
