Age,Males,Females
0,0.00338,0.00322
1,0.0001,0.00031
2,0.00023,0.00017
3,0.0001,2.00E-05
4,1.00E-04,8.00E-05
5,2.10E-04,1.40E-04
6,1.30E-04,1.20E-04
7,7.00E-05,5.00E-05
8,9.00E-05,1.10E-04
9,1.30E-04,9.00E-05
10,4.00E-05,9.00E-05
11,7.00E-05,1.00E-04
12,9.00E-05,6.00E-05
13,1.70E-04,1.00E-04
14,2.20E-04,6.00E-05
15,0.00024,1.00E-04
16,0.00032,0.00011
17,0.00027,0.00011
18,0.0004,0.00019
19,6.70E-04,0.00015
20,5.40E-04,0.00006
21,0.00075,0.00028
22,0.00064,0.00009
23,0.00066,1.70E-04
24,0.00061,0.0002
25,0.00081,0.00009
26,0.00068,0.00021
27,5.50E-04,0.00019
28,0.00074,0.00019
29,0.00073,0.0002
30,0.00082,0.00029
31,0.00063,0.00021
32,0.0009,0.00031
33,0.00083,0.0003
34,7.90E-04,0.00027
35,0.00088,0.00034
36,0.00095,0.00057
37,0.0011,0.00045
38,0.00086,0.00039
39,0.00129,0.00041
40,0.00118,0.00068
41,0.00186,0.00066
42,0.00118,0.00084
43,0.00151,0.00076
44,0.00191,0.0008
45,0.00204,0.00081
46,0.00217,0.00113
47,0.00267,0.00114
48,0.0029,0.00113
49,0.00331,0.00165
50,0.00407,0.00185
51,0.00439,0.00223
52,0.0046,0.00231
53,0.00525,0.00217
54,0.0058,0.00228
55,0.00657,0.00263
56,0.00693,0.00341
57,0.00778,0.00321
58,0.00844,0.00371
59,0.00876,0.00388
60,0.00982,0.00404
61,0.01073,0.00435
62,0.01163,0.00494
63,0.01351,0.00513
64,0.01375,0.0064
65,0.01414,0.00622
66,0.01619,0.00702
67,0.01596,0.00712
68,0.01794,0.00799
69,0.02029,0.00913
70,0.02334,0.01148
71,0.0252,0.01225
72,0.02547,0.01236
73,0.02701,0.01415
74,0.02535,0.01448
75,0.0308,0.01561
76,0.03508,0.01985
77,0.04107,0.02462
78,0.04522,0.02642
79,0.04806,0.03061
80,0.05343,0.03624
81,0.06203,0.04201
82,0.07309,0.05278
83,0.08472,0.06319
84,0.08461,0.0709
85,0.1003,0.07908
86,0.11197,0.09969
87,0.12249,0.12021
88,0.13537,0.13146
89,0.14086,0.15134
90,0.1396,0.15919
91,0.16503,0.17993
92,0.17459,0.19238
93,0.18469,0.20517
94,0.21217,0.21695
95,0.23327,0.26219
96,0.25108,0.28687
97,0.2694,0.31208
98,0.28813,0.33753
99,0.30715,0.36294
100,0.32635,0.38801
101,0.34559,0.41245
102,0.36476,0.43603
103,0.38371,0.45852
104,0.40234,0.47976
105,0.42053,0.49963
106,0.43817,0.51803
107,0.45519,0.53494
108,0.47151,0.55036
109,0.48706,0.56432
110,1,1
