CURR.AGE,BASELINE.MALE,BASELINE.FEMALE
1,0.94924847,0.95107836
2,0.94924847,0.95107836
3,0.94924847,0.95107836
4,0.94924847,0.95107836
5,0.94924847,0.95107836
6,0.94924847,0.95107836
7,0.94924847,0.95107836
8,0.94924847,0.95107836
9,0.94924847,0.95107836
10,0.94924847,0.95107836
11,0.94924847,0.95107836
12,0.94924847,0.95107836
13,0.94924847,0.95107836
14,0.94924847,0.95107836
15,0.94924847,0.95107836
16,0.94924847,0.95107836
17,0.94924847,0.95107836
18,0.94924847,0.95107836
19,0.94924847,0.95107836
20,0.94924847,0.95107836
21,0.94924847,0.95107836
22,0.94924847,0.95107836
23,0.94924847,0.95107836
24,0.94924847,0.95107836
25,0.94924847,0.95107836
26,0.94924847,0.94482455
27,0.94924847,0.939245224
28,0.94924847,0.934255438
29,0.94924847,0.929770248
30,0.949429,0.925945557
31,0.946238563,0.922219165
32,0.943126027,0.91874439
33,0.940073494,0.915439734
34,0.937063092,0.912237284
35,0.934076967,0.909072546
36,0.931169846,0.905916417
37,0.92826112,0.902672945
38,0.925334104,0.899261508
39,0.922370384,0.895533864
40,0.919351287,0.891324973
41,0.916258369,0.886469956
42,0.913073416,0.880804104
43,0.90978088,0.874258616
44,0.906375134,0.867147779
45,0.902854576,0.859894631
46,0.899215715,0.852883359
47,0.895455522,0.846538535
48,0.891576055,0.84116503
49,0.887597068,0.836643446
50,0.883542865,0.832748566
51,0.879437891,0.82925551
52,0.875306718,0.825939745
53,0.87117319,0.822610464
54,0.867057941,0.819210674
55,0.86298082,0.815717131
56,0.858961685,0.81210699
57,0.855020372,0.808357809
58,0.851176528,0.804486136
59,0.847449213,0.800663273
60,0.843857222,0.797099492
61,0.840419162,0.794005413
62,0.837153399,0.791591972
63,0.834070843,0.78996475
64,0.831153362,0.788807039
65,0.828375228,0.787696617
66,0.825710193,0.78621124
67,0.823131395,0.783928492
68,0.820610985,0.780529293
69,0.81811917,0.776108777
70,0.81562494,0.770864862
71,0.813096107,0.764994175
72,0.810499211,0.758691607
73,0.807805834,0.752132858
74,0.805012034,0.745423015
75,0.80211854,0.738646735
76,0.799124028,0.731884518
77,0.796024901,0.72521197
78,0.792813839,0.718702237
79,0.789475664,0.712434705
80,0.785991161,0.706484979
81,0.78233828,0.700921293
82,0.778492037,0.695804146
83,0.774424502,0.691186169
84,0.770104807,0.687112253
85,0.765499195,0.683619866
86,0.760571095,0.680739757
87,0.755281281,0.67849696
88,0.749587988,0.676912195
89,0.74344703,0.676003875
90,0.736812028,0.677021213
91,0.72963451,0.677303776
92,0.721864064,0.676787783
93,0.713448544,0.675416514
94,0.704334297,0.673163194
95,0.694466575,0.670046005
96,0.684812559,0.670046005
97,0.674997449,0.670046005
98,0.665022149,0.670046005
99,0.654887562,0.670046005
100,0.644594592,0.670046005
