CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
45,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
46,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
47,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
48,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
49,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
50,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
51,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
52,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
53,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
54,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
55,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
56,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
57,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
58,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
59,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
60,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
61,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
62,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
63,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
64,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
65,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
66,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
67,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
68,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
69,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
70,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
71,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
72,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
73,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
74,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
75,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
76,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
77,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
78,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
79,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
80,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
81,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
82,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
83,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
84,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
85,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
86,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
87,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
88,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
89,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
90,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
91,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
92,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
93,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
94,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
95,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
96,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
97,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
98,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
99,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
100,,5611,5611,2110,6072,6072,1834,15092,,,,,,,,,,,,,,,,,
