CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
1,32156.75632,30272.02986,5156.806317,4109.148149
2,19778,17942,2464,2632.902548
3,18972,16564,2127,1713
4,19616,16446,2046,1623
5,20350,16605,2045,1589
6,20795,16832,2074,1584
7,20997,17077,2118,1608
8,21112,17365,2171,1668
9,21219,17705,2230,1761
10,21321,18056,2284,1868
11,21387,18367,2327,1975
12,21409,18597,2354,2068
13,21362,18724,2362,2134
14,21223,18788,2359,2178
15,20984,18802,2358,2218
16,20644,18797,2359,2256
17,20191,18814,2375,2306
18,19619,18887,2416,2382
19,18935,19041,2480,2483
20,18237,19310,2555,2600
21,17609,19735,2627,2723
22,17094,20359,2683,2846
23,16717,21230,2708,2961
24,16493,22365,2702,3068
25,16424,23742,2675,3172
26,16499,25317,2637,3276
27,16720,27046,2599,3381
28,17095,28837,2572,3489
29,17573,30591,2560,3592
30,18097,32190,2560,3681
31,18635,33542,2568,3747
32,19198,34589,2582,3784
33,19803,35281,2600,3789
34,20468,35640,2621,3763
35,21207,35781,2644,3711
36,22003,35815,2666,3640
37,22838,35829,2687,3554
38,23696,35903,2704,3460
39,24563,36093,2720,3367
40,25441,36422,2736,3281
41,26336,36903,2754,3212
42,27258,37585,2777,3168
43,28238,38540,2807,3155
44,29301,39775,2846,3172
45,30461,41223,2893,3213
46,31740,42790,2945,3270
47,33151,44461,3003,3338
48,34712,46271,3066,3412
49,36428,48309,3134,3490
50,38264,50601,3205,3568
51,40071,52874,3278,3645
52,41755,54886,3350,3717
53,43252,56387,3422,3782
54,44564,57339,3495,3840
55,45708,57869,3569,3894
56,46734,58167,3648,3948
57,47689,58404,3732,4004
58,48539,58533,3824,4066
59,49208,58432,3924,4136
60,49593,57966,4030,4212
61,49666,57128,4141,4294
62,49558,56150,4255,4385
63,49422,55275,4373,4486
64,49317,54599,4495,4601
65,49239,54085,4623,4729
66,49132,53603,4758,4870
67,48948,53034,4901,5022
68,48659,52305,5055,5185
69,48284,51445,5223,5363
70,47860,50535,5411,5567
71,47398,49665,5625,5805
72,46912,48910,5869,6090
73,46453,48315,6152,6432
74,46066,47910,6475,6836
75,45783,47697,6840,7307
76,45548,47649,7242,7843
77,45256,47714,7677,8448
78,44814,47842,8137,9123
79,44198,48047,8625,9881
80,43542,48397,9161,10749
81,42971,48931,9773,11755
82,42633,49711,10486,12924
83,42550,50758,11328,14282
84,42638,51987,12296,15819
85,42831,53292,13362,17490
86,43083,54576,14490,19246
87,43315,55701,15666,21052
88,43577,56678,16895,22885
89,44047,57727,18212,24774
90,44840,59004,19661,26757
91,45966,60572,21267,28865
92,47394,62442,23048,31125
93,49044,64551,25007,33547
94,50747,66719,27110,36109
95,52388,68833,29360,38843
96,53946,70981,31757,41779
97,55115,72742,34511,45181
98,52055,68978,35262,46069
99,48757,64565,36524,47303
100,45338,59600,38557,48999
