CURR.AGE,Cost
20,10117.75177
21,10031.99919
22,9941.00779
23,9847.653483
24,9754.686991
25,9664.582697
26,9579.53522
27,9501.786837
28,9433.246205
29,9375.372116
30,9329.240148
31,9295.62939
32,9275.118929
33,9268.186499
34,9275.093794
35,9294.782466
36,9325.822755
37,9366.998752
38,9417.272054
39,9475.742815
40,9541.612301
41,9614.148013
42,9692.615444
43,9775.915252
44,9862.704507
45,9951.584659
46,10041.08831
47,10129.66773
48,10215.6881
49,10297.42598
50,10373.1107
51,10441.49841
52,10501.80633
53,10553.27814
54,10595.17618
55,10626.78684
56,10647.42639
57,10656.44703
58,10653.28407
59,10638.51916
60,10613.97911
61,10581.59148
62,10543.31003
63,10501.10306
64,10456.94418
65,10412.80451
66,10370.63193
67,10331.64685
68,10295.96269
69,10263.52395
70,10234.1883
71,10207.73206
72,10183.86336
73,10162.24209
74,10142.50532
75,10124.3421
76,10107.55117
77,10091.94551
78,10077.33897
79,10063.54605
80,10063.54605
81,10063.54605
82,10063.54605
83,10063.54605
84,10063.54605
85,10063.54605
86,10063.54605
87,10063.54605
88,10063.54605
89,10063.54605
90,10063.54605
91,10063.54605
92,10063.54605
93,10063.54605
94,10063.54605
95,10063.54605
96,10063.54605
97,10063.54605
98,10063.54605
99,10063.54605
