Age,Males,Females
0,0.00394,0.00333
1,0.00029,0.0003
2,0.00009,0.00011
3,0.00014,6.00E-05
4,9.00E-05,6.00E-05
5,1.00E-04,6.00E-05
6,7.00E-05,3.00E-05
7,5.00E-05,7.00E-05
8,2.00E-05,4.00E-05
9,3.00E-05,7.00E-05
10,6.00E-05,5.00E-05
11,7.00E-05,3.00E-05
12,8.00E-05,7.00E-05
13,7.00E-05,1.00E-04
14,1.00E-04,5.00E-05
15,0.00019,1.10E-04
16,0.0001,0.00014
17,0.00024,0.0002
18,0.00028,0.00017
19,3.90E-04,0.00019
20,4.30E-04,0.00014
21,0.00037,0.00018
22,0.00046,0.00024
23,0.00038,2.60E-04
24,0.00035,0.0002
25,0.00037,0.00014
26,0.0004,0.00023
27,4.40E-04,0.00027
28,0.00043,0.0003
29,0.00038,0.0003
30,0.0004,0.00028
31,0.00051,0.00026
32,0.00051,0.00036
33,0.00052,0.00039
34,6.30E-04,0.00042
35,0.00071,0.00044
36,0.00074,0.00037
37,0.00061,0.00037
38,0.00085,0.00052
39,0.00085,0.00051
40,0.00087,0.00072
41,0.00113,0.00064
42,0.00114,0.00076
43,0.00124,0.00081
44,0.00128,0.00088
45,0.0014,0.00103
46,0.00145,0.00122
47,0.0017,0.00126
48,0.00177,0.00118
49,0.00216,0.00157
50,0.00233,0.00163
51,0.00263,0.00198
52,0.00274,0.00232
53,0.00317,0.0024
54,0.00328,0.00254
55,0.00389,0.00297
56,0.00424,0.00326
57,0.00499,0.0034
58,0.00528,0.00408
59,0.00604,0.00442
60,0.00658,0.00483
61,0.00705,0.00548
62,0.00784,0.00604
63,0.00851,0.00649
64,0.01002,0.00715
65,0.01103,0.0078
66,0.0118,0.00815
67,0.01272,0.00911
68,0.01419,0.01042
69,0.0161,0.01084
70,0.01739,0.0123
71,0.0186,0.01305
72,0.02114,0.0144
73,0.02362,0.01623
74,0.02641,0.01778
75,0.03073,0.02089
76,0.03316,0.02221
77,0.03639,0.02444
78,0.04069,0.02837
79,0.04747,0.03189
80,0.05455,0.03542
81,0.05884,0.04099
82,0.06762,0.04755
83,0.07663,0.05418
84,0.08727,0.06291
85,0.1014,0.06944
86,0.11055,0.08317
87,0.12998,0.09343
88,0.14556,0.10911
89,0.16044,0.12377
90,0.17959,0.14642
91,0.1998,0.16035
92,0.21664,0.18371
93,0.25021,0.20458
94,0.26108,0.21855
95,0.28798,0.2466
96,0.31203,0.27148
97,0.3363,0.29709
98,0.36054,0.32315
99,0.38449,0.34934
100,0.40792,0.37532
101,0.43059,0.4008
102,0.45232,0.42548
103,0.47295,0.44911
104,0.49236,0.4715
105,0.51047,0.49247
106,0.52723,0.51192
107,0.54262,0.52981
108,0.55668,0.54612
109,0.56942,0.56087
110,1,1
