CURR.AGE,BASELINE.MALE,BASELINE.FEMALE
1,0.898049884,0.881358033
2,0.898049884,0.881358033
3,0.898049884,0.881358033
4,0.898049884,0.881358033
5,0.898049884,0.881358033
6,0.898049884,0.881358033
7,0.898049884,0.881358033
8,0.898049884,0.881358033
9,0.898049884,0.881358033
10,0.898049884,0.881358033
11,0.898049884,0.881358033
12,0.898049884,0.881358033
13,0.898049884,0.881358033
14,0.898049884,0.881358033
15,0.898049884,0.881358033
16,0.898049884,0.881358033
17,0.898049884,0.881358033
18,0.898049884,0.881358033
19,0.898049884,0.881358033
20,0.898049884,0.881358033
21,0.903748231,0.887208799
22,0.908338823,0.891791806
23,0.911908885,0.895209563
24,0.914545639,0.897564578
25,0.916336309,0.898959358
26,0.917368119,0.899496411
27,0.917728293,0.899278247
28,0.91750469,0.89840892
29,0.916787722,0.896998682
30,0.915787808,0.895286862
31,0.914376262,0.893143482
32,0.912747094,0.890796104
33,0.910988443,0.888348953
34,0.909175715,0.885875299
35,0.907381144,0.883440684
36,0.905731568,0.881150488
37,0.904252381,0.879034097
38,0.902996075,0.877135758
39,0.901931713,0.875412232
40,0.901007595,0.873798475
41,0.900172142,0.872229533
42,0.899373896,0.870640557
43,0.898568457,0.868980444
44,0.897739307,0.867252782
45,0.89687698,0.86547492
46,0.895972105,0.863664334
47,0.895015402,0.861838625
48,0.894000945,0.86001332
49,0.892935976,0.858195239
50,0.891831062,0.856389129
51,0.890696803,0.854599865
52,0.889543813,0.852832452
53,0.888381103,0.851087903
54,0.887211288,0.849350899
55,0.886035332,0.847602108
56,0.884854124,0.845822273
57,0.883668442,0.843992195
58,0.882481411,0.842095682
59,0.881305909,0.840128472
60,0.880157087,0.838089235
61,0.879049847,0.83597656
62,0.877998791,0.833788888
63,0.877012956,0.831527823
64,0.876080082,0.829208132
65,0.875182231,0.826847593
66,0.874300914,0.82446355
67,0.873417056,0.822072809
68,0.872508218,0.819691351
69,0.871540526,0.817333662
70,0.87047657,0.815013151
71,0.869277987,0.812742205
72,0.86790537,0.81053204
73,0.866330955,0.808388772
74,0.864576891,0.806302007
75,0.862676787,0.80425594
76,0.860662886,0.80223306
77,0.858565937,0.800214013
78,0.85641162,0.798179661
79,0.854209556,0.796117447
80,0.851964276,0.79401502
81,0.84967884,0.791858203
82,0.84735493,0.789631147
83,0.844993698,0.787316219
84,0.842598021,0.784893165
85,0.84017067,0.782340921
86,0.837713893,0.77963871
87,0.835229819,0.776766975
88,0.832720876,0.773708435
89,0.830190368,0.770449386
90,0.827643127,0.766981074
91,0.825054259,0.763253665
92,0.822462984,0.759314824
93,0.819883423,0.755179738
94,0.817334831,0.750874488
95,0.814842763,0.746436984
96,0.813931384,0.743046168
97,0.813426996,0.739689416
98,0.813354553,0.736368963
99,0.813739013,0.733087044
100,0.814605331,0.729845891
