CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
50,3718.464185,8647.481765,2171.861116,5456.66945,14057.59425,4914.562172,6212.327433,12586.62152,4919.870584,6709.794586,5555.539892,5040.417887,6552.783313,14882.19298,12384.34992,6825.547831,7037.601826,5587.646676,3262.812882,12126.86418,12126.86418,6023.713285,28251,28251,31914
51,3766.35607,8695.373651,2219.753001,5504.561335,14105.48613,4962.454057,6260.219318,12634.51341,4967.762469,6757.686472,5603.431777,5088.309772,6600.675198,14930.08487,12432.24181,6873.439716,7085.493711,5635.538561,3310.704767,12174.75607,12174.75607,6071.60517,28251,28251,31914
52,3814.247956,8743.265536,2267.644887,5552.453221,14153.37802,5010.345943,6308.111203,12682.40529,5015.654355,6805.578357,5651.323663,5136.201658,6648.567083,14977.97675,12480.13369,6921.331602,7133.385597,5683.430447,3358.596653,12222.64796,12222.64796,6119.497056,28251,28251,31914
53,3862.139841,8791.157422,2315.536772,5600.345106,14201.2699,5058.237828,6356.003089,12730.29718,5063.54624,6853.470243,5699.215548,5184.093543,6696.458969,15025.86864,12528.02558,6969.223487,7181.277482,5731.322332,3406.488538,12270.53984,12270.53984,6167.388941,28251,28251,31914
54,3910.031726,8839.049307,2363.428657,5648.236992,14249.16179,5106.129713,6403.894974,12778.18906,5111.438125,6901.362128,5747.107434,5231.985428,6744.350854,15073.76052,12575.91746,7017.115372,7229.169367,5779.214217,3454.380424,12318.43173,12318.43173,6215.280826,28251,28251,31914
55,3957.923612,8886.941192,2411.320543,5696.128877,14297.05367,5154.021599,6451.78686,12826.08095,5159.330011,6949.254014,5794.999319,5279.877314,6792.24274,15121.65241,12623.80935,7065.007258,7277.061253,5827.106103,3502.272309,12366.32361,12366.32361,6263.172712,28251,28251,31914
56,4005.815497,8934.833078,2459.212428,5744.020763,14344.94556,5201.913484,6499.678745,12873.97283,5207.221896,6997.145899,5842.891204,5327.769199,6840.134625,15169.54429,12671.70124,7112.899143,7324.953138,5874.997988,3550.164195,12414.2155,12414.2155,6311.064597,28251,28251,31914
57,4053.707383,8982.724963,2507.104314,5791.912648,14392.83744,5249.80537,6547.570631,12921.86472,5255.113782,7045.037784,5890.78309,5375.661085,6888.026511,15217.43618,12719.59312,7160.791029,7372.845024,5922.889874,3598.05608,12462.10738,12462.10738,6358.956483,28251,28251,31914
58,4101.599268,9030.616849,2554.996199,5839.804533,14440.72933,5297.697255,6595.462516,12969.7566,5303.005667,7092.92967,5938.674975,5423.55297,6935.918396,15265.32806,12767.48501,7208.682914,7420.736909,5970.781759,3645.947965,12509.99927,12509.99927,6406.848368,28251,28251,31914
59,4149.491154,9078.508734,2602.888085,5887.696419,14488.62121,5345.589141,6643.354402,13017.64849,5350.897553,7140.821555,5986.566861,5471.444856,6983.810281,15313.21995,12815.37689,7256.5748,7468.628795,6018.673645,3693.839851,12557.89115,12557.89115,6454.740254,28251,28251,31914
60,4197.383039,9126.40062,2650.77997,5935.588304,14536.5131,5393.481026,6691.246287,13065.54037,5398.789438,7188.713441,6034.458746,5519.336741,7031.702167,15361.11184,12863.26878,7304.466685,7516.52068,6066.56553,3741.731736,12605.78304,12605.78304,6502.632139,28251,28251,31914
61,4245.274924,9174.292505,2698.671855,5983.48019,14584.40499,5441.372911,6739.138172,13113.43226,5446.681323,7236.605326,6082.350632,5567.228626,7079.594052,15409.00372,12911.16066,7352.35857,7564.412565,6114.457415,3789.623622,12653.67492,12653.67492,6550.524024,28251,28251,31914
62,4293.16681,9222.184391,2746.563741,6031.372075,14632.29687,5489.264797,6787.030058,13161.32415,5494.573209,7284.497212,6130.242517,5615.120512,7127.485938,15456.89561,12959.05255,7400.250456,7612.304451,6162.349301,3837.515507,12701.56681,12701.56681,6598.41591,28251,28251,31914
63,4341.058695,9270.076276,2794.455626,6079.263961,14680.18876,5537.156682,6834.921943,13209.21603,5542.465094,7332.389097,6178.134402,5663.012397,7175.377823,15504.78749,13006.94443,7448.142341,7660.196336,6210.241186,3885.407393,12749.4587,12749.4587,6646.307795,28251,28251,31914
64,4388.950581,9317.968161,2842.347512,6127.155846,14728.08064,5585.048568,6882.813829,13257.10792,5590.35698,7380.280982,6226.026288,5710.904283,7223.269709,15552.67938,13054.83632,7496.034227,7708.088222,6258.133072,3933.299278,12797.35058,12797.35058,6694.199681,28251,28251,31914
65,4436.842466,9365.860047,2890.239397,6175.047732,14775.97253,5632.940453,6930.705714,13304.9998,5638.248865,7428.172868,6273.918173,5758.796168,7271.161594,15600.57126,13102.7282,7543.926112,7755.980107,6306.024957,3981.191163,12845.24247,12845.24247,6742.091566,28251,28251,31914
66,4484.734352,9413.751932,2938.131283,6222.939617,14823.86441,5680.832339,6978.5976,13352.89169,5686.140751,7476.064753,6321.810059,5806.688054,7319.053479,15648.46315,13150.62009,7591.817998,7803.871993,6353.916843,4029.083049,12893.13435,12893.13435,6789.983452,28251,28251,31914
67,4532.626237,9461.643818,2986.023168,6270.831502,14871.7563,5728.724224,7026.489485,13400.78357,5734.032636,7523.956639,6369.701944,5854.579939,7366.945365,15696.35503,13198.51198,7639.709883,7851.763878,6401.808728,4076.974934,12941.02624,12941.02624,6837.875337,28251,28251,31914
68,4580.518122,9509.535703,3033.915053,6318.723388,14919.64818,5776.616109,7074.38137,13448.67546,5781.924521,7571.848524,6417.59383,5902.471824,7414.83725,15744.24692,13246.40386,7687.601768,7899.655763,6449.700613,4124.86682,12988.91812,12988.91812,6885.767222,28251,28251,31914
69,4628.410008,9557.427589,3081.806939,6366.615273,14967.54007,5824.507995,7122.273256,13496.56734,5829.816407,7619.74041,6465.485715,5950.36371,7462.729136,15792.1388,13294.29575,7735.493654,7947.547649,6497.592499,4172.758705,13036.81001,13036.81001,6933.659108,28251,28251,31914
70,4676.301893,9605.319474,3129.698824,6414.507159,15015.43195,5872.39988,7170.165141,13544.45923,5877.708292,7667.632295,6513.3776,5998.255595,7510.621021,15840.03069,13342.18763,7783.385539,7995.439534,6545.484384,4220.650591,13084.70189,13084.70189,6981.550993,28251,28251,31914
71,4724.193779,9653.211359,3177.59071,6462.399044,15063.32384,5920.291766,7218.057027,13592.35111,5925.600178,7715.52418,6561.269486,6046.147481,7558.512907,15887.92257,13390.07952,7831.277425,8043.33142,6593.37627,4268.542476,13132.59378,13132.59378,7029.442879,28251,28251,31914
72,4772.085664,9701.103245,3225.482595,6510.29093,15111.21573,5968.183651,7265.948912,13640.243,5973.492063,7763.416066,6609.161371,6094.039366,7606.404792,15935.81446,13437.9714,7879.16931,8091.223305,6641.268155,4316.434361,13180.48566,13180.48566,7077.334764,28251,28251,31914
73,4819.97755,9748.99513,3273.374481,6558.182815,15159.10761,6016.075537,7313.840798,13688.13488,6021.383949,7811.307951,6657.053257,6141.931252,7654.296677,15983.70635,13485.86329,7927.061196,8139.115191,6689.160041,4364.326247,13228.37755,13228.37755,7125.22665,28251,28251,31914
74,4867.869435,9796.887016,3321.266366,6606.0747,15206.9995,6063.967422,7361.732683,13736.02677,6069.275834,7859.199837,6704.945142,6189.823137,7702.188563,16031.59823,13533.75517,7974.953081,8187.007076,6737.051926,4412.218132,13276.26944,13276.26944,7173.118535,28251,28251,31914
75,4915.761321,9844.778901,3369.158252,6653.966586,15254.89138,6111.859308,7409.624568,13783.91866,6117.16772,7907.091722,6752.837028,6237.715023,7750.080448,16079.49012,13581.64706,8022.844967,8234.898962,6784.943812,4460.110018,13324.16132,13324.16132,7221.010421,28251,28251,31914
76,4963.653206,9892.670787,3417.050137,6701.858471,15302.78327,6159.751193,7457.516454,13831.81054,6165.059605,7954.983608,6800.728913,6285.606908,7797.972334,16127.382,13629.53894,8070.736852,8282.790847,6832.835697,4508.001903,13372.05321,13372.05321,7268.902306,28251,28251,31914
77,5011.545091,9940.562672,3464.942022,6749.750357,15350.67515,6207.643078,7505.408339,13879.70243,6212.95149,8002.875493,6848.620798,6333.498793,7845.864219,16175.27389,13677.43083,8118.628737,8330.682732,6880.727582,4555.893789,13419.94509,13419.94509,7316.794191,28251,28251,31914
78,5059.436977,9988.454557,3512.833908,6797.642242,15398.56704,6255.534964,7553.300225,13927.59431,6260.843376,8050.767379,6896.512684,6381.390679,7893.756105,16223.16577,13725.32271,8166.520623,8378.574618,6928.619468,4603.785674,13467.83698,13467.83698,7364.686077,28251,28251,31914
79,5107.328862,10036.34644,3560.725793,6845.534128,15446.45892,6303.426849,7601.19211,13975.4862,6308.735261,8098.659264,6944.404569,6429.282564,7941.64799,16271.05766,13773.2146,8214.412508,8426.466503,6976.511353,4651.677559,13515.72886,13515.72886,7412.577962,28251,28251,31914
80,5155.220748,10084.23833,3608.617679,6893.426013,15494.35081,6351.318735,7649.083996,14023.37808,6356.627147,8146.551149,6992.296455,6477.17445,7989.539875,16318.94954,13821.10649,8262.304394,8474.358389,7024.403239,4699.569445,13563.62075,13563.62075,7460.469848,28251,28251,31914
81,5203.112633,10132.13021,3656.509564,6941.317898,15542.24269,6399.21062,7696.975881,14071.26997,6404.519032,8194.443035,7040.18834,6525.066335,8037.431761,16366.84143,13868.99837,8310.196279,8522.250274,7072.295124,4747.46133,13611.51263,13611.51263,7508.361733,28251,28251,31914
82,5251.004519,10180.0221,3704.40145,6989.209784,15590.13458,6447.102506,7744.867766,14119.16185,6452.410918,8242.33492,7088.080226,6572.958221,8085.323646,16414.73331,13916.89026,8358.088165,8570.14216,7120.18701,4795.353216,13659.40452,13659.40452,7556.253619,28251,28251,31914
83,5298.896404,10227.91398,3752.293335,7037.101669,15638.02646,6494.994391,7792.759652,14167.05374,6500.302803,8290.226806,7135.972111,6620.850106,8133.215532,16462.6252,13964.78214,8405.98005,8618.034045,7168.078895,4843.245101,13707.2964,13707.2964,7604.145504,28251,28251,31914
84,5346.788289,10275.80587,3800.18522,7084.993555,15685.91835,6542.886276,7840.651537,14214.94562,6548.194688,8338.118691,7183.863997,6668.741991,8181.107417,16510.51709,14012.67403,8453.871935,8665.92593,7215.97078,4891.136987,13755.18829,13755.18829,7652.037389,28251,28251,31914
