CURR.AGE,NOCOMP,MI.NONFATAL,MI.FATAL,MI.SUB,IHD.NONFATAL,IHD.FATAL,IHD.SUB,STROKE.NONFATAL,STROKE.FATAL,STROKE.SUB,CHF.NONFATAL,CHF.FATAL,CHF.SUB,AMP.NONFATAL,AMP.FATAL,AMP.SUB,BLIND.NONFATAL,BLIND.FATAL,BLIND.SUB,ULCER.NONFATAL,ULCER.FATAL,ULCER.SUB,RENAL.FATAL,RENAL.NONFATAL,RENAL.SUB
50,3279.596065,8208.613646,1732.992996,5017.801331,13618.72613,4475.694052,5773.459313,12147.7534,4481.002464,6270.926467,5116.671772,4601.549767,6113.915193,14443.32486,11945.4818,6386.679711,6598.733706,5148.778556,2823.944762,11687.99607,11687.99607,5584.845165,28251,28251,31914
51,3327.487951,8256.505531,1780.884882,5065.693216,13666.61801,4523.585938,5821.351199,12195.64529,4528.89435,6318.818352,5164.563658,4649.441653,6161.807078,14491.21675,11993.37369,6434.571597,6646.625592,5196.670442,2871.836648,11735.88795,11735.88795,5632.737051,28251,28251,31914
52,3375.379836,8304.397417,1828.776767,5113.585101,13714.5099,4571.477823,5869.243084,12243.53717,4576.786235,6366.710238,5212.455543,4697.333538,6209.698964,14539.10863,12041.26557,6482.463482,6694.517477,5244.562327,2919.728533,11783.77984,11783.77984,5680.628936,28251,28251,31914
53,3423.271722,8352.289302,1876.668653,5161.476987,13762.40178,4619.369709,5917.134969,12291.42906,4624.678121,6414.602123,5260.347429,4745.225424,6257.590849,14587.00052,12089.15746,6530.355368,6742.409363,5292.454213,2967.620419,11831.67172,11831.67172,5728.520822,28251,28251,31914
54,3471.163607,8400.181188,1924.560538,5209.368872,13810.29367,4667.261594,5965.026855,12339.32094,4672.570006,6462.494009,5308.239314,4793.117309,6305.482735,14634.8924,12137.04934,6578.247253,6790.301248,5340.346098,3015.512304,11879.56361,11879.56361,5776.412707,28251,28251,31914
55,3519.055492,8448.073073,1972.452423,5257.260758,13858.18555,4715.153479,6012.91874,12387.21283,4720.461891,6510.385894,5356.131199,4841.009194,6353.37462,14682.78429,12184.94123,6626.139138,6838.193133,5388.237983,3063.40419,11927.45549,11927.45549,5824.304592,28251,28251,31914
56,3566.947378,8495.964958,2020.344309,5305.152643,13906.07744,4763.045365,6060.810626,12435.10471,4768.353777,6558.27778,5404.023085,4888.90108,6401.266506,14730.67617,12232.83312,6674.031024,6886.085019,5436.129869,3111.296075,11975.34738,11975.34738,5872.196478,28251,28251,31914
57,3614.839263,8543.856844,2068.236194,5353.044529,13953.96932,4810.93725,6108.702511,12482.9966,4816.245662,6606.169665,5451.91497,4936.792965,6449.158391,14778.56806,12280.725,6721.922909,6933.976904,5484.021754,3159.18796,12023.23926,12023.23926,5920.088363,28251,28251,31914
58,3662.731149,8591.748729,2116.12808,5400.936414,14001.86121,4858.829136,6156.594397,12530.88848,4864.137548,6654.06155,5499.806856,4984.684851,6497.050276,14826.45994,12328.61689,6769.814795,6981.86879,5531.91364,3207.079846,12071.13115,12071.13115,5967.980249,28251,28251,31914
59,3710.623034,8639.640615,2164.019965,5448.828299,14049.7531,4906.721021,6204.486282,12578.78037,4912.029433,6701.953436,5547.698741,5032.576736,6544.942162,14874.35183,12376.50877,6817.70668,7029.760675,5579.805525,3254.971731,12119.02303,12119.02303,6015.872134,28251,28251,31914
