CURR.AGE,Last.year.of.life.men,Last.year.of.life.women,Other.years.of.life.men,Other.years.of.life.women
0,3054.30334,2482.4848,1666.68758,1432.4025
1,2567.39612,1897.90302,1538.63974,1136.37842
2,2053.81996,1520.81044,1342.48282,1008.35366
3,1700.39592,1280.4207,1200.14846,927.0082
4,1511.3938,1179.35338,1117.85672,898.89676
5,1416.55808,1157.2889,1063.89568,900.16616
6,1357.0463,1141.23676,1025.08666,896.68108
7,1278.71278,1109.2825,965.94416,877.2131
8,1186.18506,1061.46074,896.20794,843.32012
9,1105.69356,1024.16346,834.94208,815.10482
10,1057.68716,1021.82084,796.6639,812.77374
11,1045.90482,1027.66008,784.87002,817.4359
12,1068.2001,1073.11614,796.6639,851.95204
13,1113.5523,1153.0191,824.84458,908.95964
14,1162.60884,1262.79912,854.32928,982.1117
15,1190.15482,1386.03478,862.3265,1059.1412
16,1212.90016,1512.24776,867.3464,1131.99322
17,1202.77958,1637.68756,842.8239,1197.275
18,1161.05094,1763.05812,800.05666,1258.25236
19,1118.7453,1889.30572,757.79718,1321.46848
20,1066.0075,2013.59152,718.35346,1390.44306
21,1023.58646,2137.86578,691.02674,1467.2533
22,1003.24144,2268.85632,678.42506,1552.5916
23,1003.12604,2409.8405,678.93282,1646.01944
24,1006.25338,2556.21386,682.0717,1744.46718
25,1014.67758,2699.50604,690.50744,1843.5727
26,1027.49852,2846.46794,702.5552,1945.79402
27,1050.33618,3005.1314,720.31526,2053.58916
28,1084.45996,3169.25328,744.33,2162.56138
29,1127.458,3325.75876,773.42234,2265.46356
30,1173.36412,3456.39156,804.71882,2352.99446
31,1222.76686,3564.04822,838.08096,2425.52336
32,1272.5735,3631.1764,871.06228,2473.12586
33,1309.59382,3636.26554,896.1964,2478.31886
34,1330.1581,3554.22768,911.68308,2434.22452
35,1341.1211,3413.56662,921.79212,2351.37886
36,1358.0272,3248.03686,934.8554,2250.62312
37,1389.80836,3076.02162,955.61586,2144.87056
38,1430.383,2900.76364,981.51162,2038.40252
39,1479.11642,2744.92748,1012.2311,1944.03994
40,1534.49688,2625.9847,1046.59722,1870.78402
41,1588.14634,2535.90346,1079.95936,1814.63038
42,1636.17582,2467.80592,1110.11338,1772.15164
43,1679.67008,2417.69924,1137.70552,1741.40908
44,1725.24154,2403.56274,1166.53244,1730.44608
45,1781.33748,2409.48276,1201.1409,1736.4815
46,1852.81624,2453.16166,1243.73504,1762.66576
47,1939.07774,2520.93608,1293.9225,1805.5484
48,2034.35198,2595.32292,1348.87598,1853.45094
49,2135.3616,2672.2024,1406.69138,1902.7152
50,2239.2216,2752.71698,1465.6377,1953.21424
51,2340.84284,2831.38516,1523.12998,2002.05152
52,2675.4913,3366.28724,1577.02178,2042.91466
53,3007.37016,3707.19038,1631.36364,2077.58082
54,3201.4845,3805.52272,1693.24112,2113.96644
55,3387.07078,3987.4162,1763.16198,2152.76392
56,3674.02442,4450.55102,1836.03708,2188.74564
57,3832.5494,4552.57616,1912.8704,2226.03138
58,3840.53508,4455.81326,1993.02724,2265.7636
59,4102.16996,4567.48584,2067.6218,2300.82212
60,4217.28146,4655.30524,2136.1694,2329.61442
61,4388.36196,4495.25698,2197.58528,2354.41388
62,4478.1547,4595.50496,2264.17108,2382.73304
63,4493.45674,4675.18866,2362.95348,2441.07928
64,5029.73208,4914.89754,2517.5087,2556.76778
65,5206.16714,5142.25862,2708.05718,2703.5912
66,5506.47256,5292.0132,2883.31516,2837.76678
67,5872.129,5520.02052,3040.06298,2952.41668
68,6115.7384,5616.16026,3187.22106,3055.8497
69,6238.82404,5870.5134,3337.34492,3159.45582
70,6254.36842,5735.28768,3461.74612,3245.94812
71,6473.46686,5806.22406,3550.1656,3301.20164
72,6432.23444,5895.00128,3676.13624,3376.30396
73,6803.64934,5975.94284,3844.97798,3488.68048
74,7178.94168,6209.36242,4044.61998,3617.79
75,7491.7103,6410.31998,4254.30178,3752.4618
76,7610.1107,6615.00496,4465.95692,3883.17538
77,8008.74846,6770.93344,4656.17074,4003.4568
78,8140.75452,6743.7452,4826.46652,4108.05536
79,8254.30812,6900.08912,4965.05038,4191.07412
80,8390.16854,7028.65626,5082.43526,4277.5318
81,8700.82534,7100.78126,5183.44488,4381.55336
82,8882.25722,7431.55228,5309.35782,4487.37516
83,9260.65382,7510.37048,5446.57996,4635.69878
84,9498.44706,7680.3893,5629.51204,4795.6778
85,9916.0912,8422.05356,5804.46998,4929.29946
86,10282.17462,8818.4641,5937.94162,5055.88172
87,10388.83884,8950.66634,5971.90384,5087.37438
88,10269.01902,8848.59504,5920.86242,5037.74084
89,10120.7531,8739.59974,5861.03906,4992.79254
90,9949.97264,8605.86268,5793.68008,4939.20078
91,9790.75526,8480.6306,5731.32946,4890.49044
92,9638.65806,8351.94806,5671.78306,4840.07218
93,9486.37622,8210.06376,5612.0174,4783.86084
94,9324.22768,8058.00118,5548.2012,4723.12582
95,9144.24984,7902.04962,5477.2302,4660.63672
96,8938.79168,7750.02166,5396.19632,4599.6709
97,8717.1429,7589.86954,5308.78082,4535.47388
98,8504.48378,7388.51962,5224.9081,4454.79774
99,8328.8219,7106.71282,5155.62194,4341.87884
