CURR.AGE,Cost
20,10324.75925
21,10556.27809
22,10776.10707
23,10982.00768
24,11171.67375
25,11342.75545
26,11492.92757
27,11621.27305
28,11728.70265
29,11816.39641
30,11885.67787
31,11937.99235
32,11974.88713
33,11997.99376
34,12009.28393
35,12012.92273
36,12014.13315
37,12018.1729
38,12030.3265
39,12055.92655
40,12100.39855
41,12169.3239
42,12265.08783
43,12381.08951
44,12509.06154
45,12640.42757
46,12766.24645
47,12877.21851
48,12963.7582
49,13016.50572
50,13034.66781
51,13026.21126
52,12999.6564
53,12963.56383
54,12926.44379
55,12896.72158
56,12882.75837
57,12891.40193
58,12920.26486
59,12963.49892
60,13015.2431
61,13069.5789
62,13120.50583
63,13161.9438
64,13187.76865
65,13192.87064
66,13174.35129
67,13129.72134
68,13056.67111
69,12953.10928
70,12817.19882
71,12647.38821
72,12442.64251
73,12205.52008
74,11941.23921
75,11654.86435
76,11351.17171
77,11034.62463
78,10709.37155
79,10379.2594
80,10379.2594
81,10379.2594
82,10379.2594
83,10379.2594
84,10379.2594
85,10379.2594
86,10379.2594
87,10379.2594
88,10379.2594
89,10379.2594
90,10379.2594
91,10379.2594
92,10379.2594
93,10379.2594
94,10379.2594
95,10379.2594
96,10379.2594
97,10379.2594
98,10379.2594
99,10379.2594
