CURR.AGE,costs_nm_UK
18,9800.334571
19,10506.68039
20,11224.42163
21,11915.21244
22,12569.89101
23,13179.70452
24,13736.52283
25,14233.03323
26,14662.90982
27,15020.95169
28,15303.2025
29,15511.76563
30,15660.15377
31,15760.1121
32,15823.26077
33,15861.74571
34,15887.99908
35,15914.59408
36,15954.19784
37,16019.53377
38,16115.63319
39,16233.60544
40,16362.94803
41,16494.1469
42,16621.94073
43,16741.91226
44,16849.52845
45,16940.1673
46,17009.23662
47,17055.38813
48,17081.64973
49,17091.44249
50,17088.25064
51,17075.59139
52,17056.15453
53,17029.49728
54,16994.4574
55,16949.95099
56,16896.23278
57,16834.87778
58,16767.50774
59,16695.72743
60,16621.11972
61,16545.2422
62,16469.62528
63,16395.93337
64,16325.93658
65,16254.17302
66,16169.7456
67,16061.86958
68,15920.13204
69,15734.68168
70,15496.47952
71,15197.5991
72,14831.56015
73,14395.44129
74,13905.6842
75,13390.22807
76,12874.80622
77,12381.67576
78,11929.79649
79,11535.34023
80,11212.44772
81,10974.17765
82,10831.74366
83,10784.79035
84,10829.89842
85,10965.11738
86,11186.56354
87,11490.73101
88,11875.15324
89,12337.99053
90,12877.64157
91,12877.64157
92,12877.64157
93,12877.64157
94,12877.64157
95,12877.64157
96,12877.64157
97,12877.64157
98,12877.64157
99,12877.64157
