Age,Males,Females
0,0.00409,0.00347
1,0.00025,0.00024
2,0.00012,0.00008
3,0.00011,0.00011
4,0.00011,0.00005
5,0.00008,0.0001
6,0.0001,0.00008
7,0.00008,0.00006
8,0.00007,0.00007
9,0.00004,0.00007
10,0.00009,0.00008
11,0.0001,0.00006
12,0.0001,0.00005
13,0.00012,0.00008
14,0.00014,0.00009
15,0.00021,0.00014
16,0.00023,0.00015
17,0.00035,0.00015
18,0.00045,0.00023
19,0.00049,0.00022
20,0.00051,0.00019
21,0.00054,0.00022
22,0.00052,0.00024
23,0.00052,0.00021
24,0.00058,0.00023
25,0.00059,0.0003
26,0.00061,0.00025
27,0.0006,0.00029
28,0.00072,0.00035
29,0.00078,0.00032
30,0.00078,0.00038
31,0.00089,0.00035
32,0.00079,0.00048
33,0.00097,0.00047
34,0.00099,0.00061
35,0.00108,0.00059
36,0.00115,0.00066
37,0.00135,0.00076
38,0.00127,0.00076
39,0.00136,0.00086
40,0.00159,0.0008
41,0.00165,0.00094
42,0.00195,0.00105
43,0.00208,0.00121
44,0.00218,0.00134
45,0.00241,0.00145
46,0.00261,0.0016
47,0.00268,0.00175
48,0.00289,0.00197
49,0.00323,0.00197
50,0.00339,0.00213
51,0.00361,0.00233
52,0.00396,0.00253
53,0.00432,0.00277
54,0.00451,0.00287
55,0.00485,0.00323
56,0.00528,0.0036
57,0.00602,0.00395
58,0.00662,0.00443
59,0.00685,0.00471
60,0.00757,0.00517
61,0.0085,0.00558
62,0.00918,0.00624
63,0.01041,0.0068
64,0.01069,0.00729
65,0.0122,0.00828
66,0.01339,0.00867
67,0.0143,0.00934
68,0.01599,0.01054
69,0.01767,0.01113
70,0.01895,0.01295
71,0.02053,0.01364
72,0.02194,0.01533
73,0.02567,0.01701
74,0.0287,0.01993
75,0.03151,0.02179
76,0.03494,0.02403
77,0.03954,0.02786
78,0.0437,0.0312
79,0.04828,0.03483
80,0.05396,0.03841
81,0.061,0.04467
82,0.06667,0.04904
83,0.07593,0.05722
84,0.0845,0.06335
85,0.09422,0.0727
86,0.10904,0.08366
87,0.11998,0.09568
88,0.13507,0.1089
89,0.15046,0.11986
90,0.16214,0.13694
91,0.17973,0.15338
92,0.19976,0.16909
93,0.21599,0.18783
94,0.23907,0.20742
95,0.2594,0.22856
96,0.28077,0.25053
97,0.30259,0.27329
98,0.32467,0.29665
99,0.34684,0.32038
100,0.36888,0.34424
101,0.39062,0.36799
102,0.41186,0.39139
103,0.43245,0.41421
104,0.45224,0.43626
105,0.47112,0.45735
106,0.48898,0.47735
107,0.50578,0.49615
108,0.52145,0.51368
109,0.536,0.52991
110,1,1
