"","Usual_care","SMI","Incr"
"mean_life_expectancy",22.73,22.734,0.00400000000000134
"mean_CHF_rate",0.11,0.11,0
"mean_BLIND_rate",0.062,0.062,0
"mean_ULCER_rate",0.021,0.021,0
"mean_STROKE_rate",0.104,0.104,0
"mean_AMP1_rate",0.058,0.058,0
"mean_AMP2_rate",0.019,0.018,-0.001
"mean_MI_rate",0.212,0.207,-0.005
"mean_RENAL_rate",0.006,0.006,0
"mean_total_costs",408533.622770433,407985.000825991,-548.621944442508
"mean_total_qalys",17.159807380954,17.1631799093135,0.003372528359467
"mean_inf_care_costs",38364.9699243614,38412.7732267511,47.803302389686
"mean_prod_loss_costs",3974.80237467746,3974.80237467746,0
"mean_ihd_costs",4445.33467013936,4020.04734219618,-425.287327943182
"mean_mi_costs",3178.92118117795,3118.61922253585,-60.3019586420965
"mean_chf_costs",2303.67837848379,2227.77778274198,-75.9005957418099
"mean_stroke_costs",2310.50387397278,2310.50387397278,0
"mean_amp_costs",1272.87915036832,1190.51997085194,-82.3591795163716
"mean_blind_costs",1533.63160961069,1533.63160961069,0
"mean_ulcer_costs",0,0,0
"mean_complication_costs",15044.9488637529,14401.0998019094,-643.849061843457
"mean_nocomp_costs",59594.1030541021,59626.5058853529,32.4028312507799
"mean_tx_costs",0,0,0
"mean_future_medical_costs",49929.3828561562,49936.1365268128,6.753670656537
"mean_future_nonmedical_costs",241625.415697383,241633.683010487,8.26731310391915
